answer_sheet_id,user_id,exam_question_id,examination_id,subject_id,no,exam_result,created_at,updated_at,active_flag
1,1,2,1,2,1,0,2013-10-17 02:59:54 UTC,2013-10-17 02:59:54 UTC,1
2,1,2,2,2,1,2,2013-10-17 03:13:00 UTC,2013-10-17 03:13:25 UTC,1
5,5,2,5,2,1,1,2013-10-17 03:24:29 UTC,2013-10-17 03:24:37 UTC,1
6,5,1,6,1,1,0,2013-10-17 03:32:37 UTC,2013-10-17 03:32:37 UTC,1
4,4,2,4,2,1,28,2013-10-17 03:23:23 UTC,2013-10-17 03:47:37 UTC,1
3,3,2,3,2,1,29,2013-10-17 03:16:51 UTC,2013-10-17 03:58:18 UTC,1
11,7,2,11,2,1,27,2013-10-17 04:09:35 UTC,2013-10-17 04:21:15 UTC,1
12,6,2,12,2,1,0,2013-10-17 04:28:13 UTC,2013-10-17 04:28:13 UTC,1
8,6,2,8,2,1,21,2013-10-17 04:09:31 UTC,2013-10-17 04:28:53 UTC,1
10,8,2,10,2,1,25,2013-10-17 04:09:33 UTC,2013-10-17 04:29:56 UTC,1
7,9,2,7,2,1,21,2013-10-17 04:05:52 UTC,2013-10-17 04:32:11 UTC,1
13,9,2,13,2,1,0,2013-10-17 04:32:22 UTC,2013-10-17 04:32:22 UTC,1
9,10,2,9,2,1,14,2013-10-17 04:09:33 UTC,2013-10-17 04:33:19 UTC,1
14,7,1,14,1,1,1,2013-10-17 04:45:45 UTC,2013-10-17 04:46:03 UTC,1
15,7,1,15,1,1,0,2013-10-17 04:47:32 UTC,2013-10-17 04:47:32 UTC,1
16,4,2,16,2,1,0,2013-10-17 04:47:51 UTC,2013-10-17 04:47:51 UTC,1
17,12,2,17,2,1,0,2013-10-17 05:22:50 UTC,2013-10-17 05:22:50 UTC,1
18,9,2,18,2,1,30,2013-10-17 08:02:32 UTC,2013-10-17 08:13:38 UTC,1
21,6,2,21,2,1,0,2013-10-17 08:14:55 UTC,2013-10-17 08:14:55 UTC,1
20,6,2,20,2,1,29,2013-10-17 08:03:39 UTC,2013-10-17 08:17:59 UTC,1
22,6,1,22,1,1,0,2013-10-17 08:28:19 UTC,2013-10-17 08:28:19 UTC,1
19,10,2,19,2,1,28,2013-10-17 08:03:13 UTC,2013-10-17 08:30:33 UTC,1
23,3,1,23,1,1,1,2013-10-21 03:13:47 UTC,2013-10-21 03:16:17 UTC,1
