question_id,subject_id,question_group_id,question_content,question_file,answer_type,created_at,updated_at,active_flag
1,1,1,"Which SQL function is used to count the number of rows in a SQL query?",,1,"2013-10-11 12:00:00","2013-10-11 12:00:00",1
2,1,1,"The FROM SQL clause is used to…",NULL,1,"2013-10-11 12:00:00","2013-10-11 12:00:00",1
3,1,2,"How do you get the number of rows affected by query?",NULL,2,"2013-10-11 12:00:00","2013-10-11 12:00:00",1
4,1,2,"If the value in the column is repeatable, how do you find out the unique values?",NULL,2,"2013-10-11 12:00:00","2013-10-11 12:00:00",1
5,1,3,NULL,1/exercise1.jpg,3,"2013-10-11 12:00:00","2013-10-11 12:00:00",1
6,2,4,"Hãy chọn lệnh đúng để khởi động server Rails.",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
7,2,4,"Hãy chọn rake task thích hợp dùng để xuất ra các routing được định nghĩa trong config/routes.rb.",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
8,2,4,"Hãy chọn rake task thích hợp dùng để tạo database được chỉ định trong config/databases.yml",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
9,2,4,"Đưa ra kết quả khi chạy lệnh sau đây:
{'foo' => 'bar'}.symbolize_keys.merge(:foo => 'hoge')",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
10,2,4,"Điền vào (1) dòng code để validate độ dài xâu của trường title trong bảng Article nằm trong 20 ký tự.
 class Article < ActiveRecord::Base
　　__(1)__
end",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
11,2,4,"Khi validate trường age của bảng User là số nguyên không âm, điền vào (1) đoạn code thích hợp.
 
 class User < ActiveRecord::Base
  　 __(1)__
  end",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
12,2,4,"Chọn một đáp án đúng khi nói về sự khác nhau giữa ActiveRecord::Base#update_attributes!và ActiveRecord::Base#update_attributes",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
13,2,4,"Điền vào (1) dòng code để định nghĩa một scope tên là administrator lấy ra các record có trường admin bằng true.
 
class User < ActiveRecord::Base
　__(1)__
end",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
14,2,4,"Hai model Company và Employer có quan hệ 1 nhiều (has_many). Điền vào (1) đoạn code để khi xoá một record trong model Company thì những record phụ thuộc của model Employer cũng bị xoá theo.
 
            class Company < ActiveRecord::Base
              __(1)__
            end
            class Employee < ActiveRecord::Base
              belongs_to :company
            end
",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
15,2,4,"Điền vào (1) dòng code để đánh index cho trường name của bảng user.
 
class CreateUsers < ActiveRecord::Migration
　def self.up
  　create_table :users do |t|
    　t.string :name
    　t.timestamps
  　end
  　__(1)__
　end
　def self.down
　　drop_table :users
 　end
 end",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
